Date,Bullish,Neutral,Bearish,Spread,Spread_MA20,SP500_Price_x,SP500_Price_y,SP500_Price
2020-01-02,37.215900000000005,40.9091,21.875,15.340900000000005,2.676660000000001,3257.85009765625,3257.85009765625,3257.85009765625
2020-01-09,33.0688,37.037,29.8942,3.174599999999998,3.4895950000000013,3274.699951171875,3274.699951171875,3274.699951171875
2020-01-16,41.8338,30.659,27.5072,14.3266,5.009945000000001,3316.81005859375,3316.81005859375,3316.81005859375
2020-01-23,45.6019,29.6296,24.7685,20.8334,6.594825000000002,3325.5400390625,3325.5400390625,3325.5400390625
2020-01-30,31.9783,31.1653,36.8564,-4.878100000000003,6.25717,3283.659912109375,3283.659912109375,3283.659912109375
2020-02-06,33.871,30.914,35.2151,-1.3440999999999974,5.814025000000001,3345.780029296875,3345.780029296875,3345.780029296875
2020-02-13,41.3333,32.2667,26.4,14.9333,6.755070000000001,3373.93994140625,3373.93994140625,3373.93994140625
2020-02-20,40.5594,30.7692,28.6713,11.888100000000003,8.252785000000001,3373.22998046875,3373.22998046875,3373.22998046875
2020-02-27,30.4348,30.4348,39.1304,-8.695600000000002,9.000525,2978.760009765625,2978.760009765625,2978.760009765625
2020-03-05,38.7387,21.6216,39.6396,-0.9009,8.827275,3023.93994140625,3023.93994140625,3023.93994140625
2020-03-12,29.7386,18.9542,51.3072,-21.5686,7.382355000000001,2480.639892578125,2480.639892578125,2480.639892578125
2020-03-19,34.3511,14.5038,51.145,-16.793899999999994,6.265550000000002,2409.389892578125,2409.389892578125,2409.389892578125
2020-03-26,32.901599999999995,15.0259,52.0725,-19.170900000000003,4.488365000000001,2630.070068359375,2630.070068359375,2630.070068359375
2020-04-02,34.2391,16.0326,49.7283,-15.489199999999997,2.918725000000001,2526.89990234375,2526.89990234375,2526.89990234375
2020-04-09,36.5994,18.732,44.668600000000005,-8.06920000000001,2.2547200000000003,2789.820068359375,2789.820068359375,2789.820068359375
2020-04-16,34.8601,22.3919,42.7481,-7.887999999999998,1.6921250000000008,2799.550048828125,2799.550048828125,2799.550048828125
2020-04-23,24.8634,25.1366,50.0,-25.1366,0.3058450000000006,2797.800048828125,2797.800048828125,2797.800048828125
2020-04-30,30.597,25.3731,44.0299,-13.432899999999997,-0.9447499999999993,2912.429931640625,2912.429931640625,2912.429931640625
2020-05-07,23.6686,23.6686,52.6627,-28.994099999999992,-3.5755599999999985,2881.18994140625,2881.18994140625,2881.18994140625
2020-05-14,23.3129,26.073600000000003,50.6135,-27.300600000000003,-5.958289999999999,2852.5,2852.5,2852.5
2020-05-21,29.0043,25.974000000000004,45.0216,-16.0173,-7.5262,2948.510009765625,2948.510009765625,2948.510009765625
2020-05-28,33.070899999999995,24.8031,42.126000000000005,-9.05510000000001,-8.137685000000001,3029.72998046875,3029.72998046875,3029.72998046875
2020-06-04,34.551500000000004,26.5781,38.8704,-4.318899999999992,-9.069959999999998,3112.35009765625,3112.35009765625,3112.35009765625
2020-06-11,34.2767,27.673,38.0503,-3.773600000000002,-10.30031,3002.10009765625,3002.10009765625,3002.10009765625
2020-06-18,24.3671,27.8481,47.7848,-23.4177,-11.22729,3115.340087890625,3115.340087890625,3115.340087890625
2020-06-25,24.1379,26.9592,48.9028,-24.7649,-12.398329999999998,3083.760009765625,3083.760009765625,3083.760009765625
2020-07-02,22.1519,31.962000000000003,45.8861,-23.7342,-14.331705,3130.010009765625,3130.010009765625,3130.010009765625
2020-07-09,27.1552,30.1724,42.6724,-15.517199999999995,-15.701969999999998,3152.050048828125,3152.050048828125,3152.050048828125
2020-07-16,30.837,23.788500000000003,45.3744,-14.537400000000003,-15.994060000000001,3215.570068359375,3215.570068359375,3215.570068359375
2020-07-23,26.0563,27.1127,46.831,-20.774700000000003,-16.98775,3235.659912109375,3235.659912109375,3235.659912109375
2020-07-30,20.229,31.2977,48.4733,-28.244300000000003,-17.321535,3246.219970703125,3246.219970703125,3246.219970703125
2020-08-06,23.2877,29.1096,47.6027,-24.315,-17.69759,3349.159912109375,3349.159912109375,3349.159912109375
2020-08-13,30.036600000000004,27.838800000000003,42.1245,-12.087899999999994,-17.34344,3373.429931640625,3373.429931640625,3373.429931640625
